Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Angola,2017/04,Heavy Rain With Lightnings,1,,,,21,28,170,170,,
Angola,2017/04,LIGHTNING,1,2,6,,,2,8,6,,6
Angola,2017/09,LIGHTNING,1,1,10,,,11,66,66,,10
Angola,2019/10,FLOOD,2,,,,,20,185,40,,
Angola,2019/12,FLOOD,1,,,,,,120,12,120,
Angola,2020/02,DROUGHT,1,2,2483,354000,,,177000,354000,530,530
Angola,2020/02,Heavy Rain With Lightnings,1,,,,,27,27,34,27,27
Angola,2020/03,FLOOD,1,50,10,,,,,,,
Angola,2020/12,FAILEN TREES,1,1,2,,,,46,111,54,11
Angola,2020/12,RAIN,5,2,,1,,,370,620,50,80
Angola,2021/02,EPIDEMIC COVID-19 Gen Records,1,6,,,,,,,,
,TOTAL,,199,3263,11053,354129,12826,53249,446397,652773,6548,26146
